author,title,content
Daniel,Max 3star,"No full hd screen, one USB 3 plug and no fast ethernet plug. Just fair value. Come on HP."
Rahul Handoo,Value for money,Awesome and fast
Kirti Patel,"ap, connecticut","I bought this laptop about couple of weeks ago. I am very disappointed with it. The battery life is not even 4 hrs long and they advertise as 7 hrs. It also make lots of fan noise, even with only one program running. It supposed to be quite because of 12 GB RAM, but it's not. I spent $550 for it and it is a junk. I could have gone from BJ'S or Sams Club for same amount with lot better product."
L. D. Vega,Poor quality product and unreliable.,"One of the worst laptops I have owned. After a year of use, keyboard is broken. had it replaced. As of today, keyboard has broken again. Service outside the US is terrible and it is a pain to disassemble or service this laptop. Will never buy again. Strongly suggest you look at other brands like Dell, Lenovo or Acer."
Amazon Customer,Good deal for the features it has,I have started using this laptop from a week or so. This laptop made much difference into my day to day life. I got a good deal and I'm enjoying the features. I wouldn't have expected more than this.
Neel,Three Stars,"Touch screen mentioned in specification, however it is actually not"
Martin Brown,great,It's a solid basic laptop. great display
And one,Four Stars,Nice PC
Amazon Customer,excelente,excellente
Diane,"Great graphics, very responsive","Great graphics, very responsive. Don't like the Microsoft product screen that pops up when I log onto my computer. So much better than my old computer! Very happy with this laptop."
WH,"Not the best HP, has battery issues","Battery went bad within 6 months, then the power connector into the laptop starting playing up, it only works if fiddled enough."
Eddie Lo,nice little device,Great price. I got it for my g granddaughter who is a freshman in university.
Celino U. Rivera,I would certainly recommend this HP newest laptop to friends and relatives,The item was on time as expected. Brand new with power adaptor. All expectations were all achieved.I would certainly recommend this HP newest laptop to friends and relatives.
Paul Davis,WHat a steal on this machine! It is everything ...,WHat a steal on this machine! It is everything they say it is and a bag of chips!Extremely satisified!
Rose Miami lakes fl,Item just as described.,Item just as described.Received item on time.Item was package well for safety measures. .Works good... no problems so far..
Antonio Rasoilo,absolute garbage by the time you download all of the garbage ...,"absolute garbage by the time you download all of the garbage Microsoft has to give you, you will spend many hrs waitingbe download time or your own speed it will be tireless to the point of giving up. worthlessgarbage"
Jim,This is more of a review of the seller than ...,This is more of a review of the seller than the product. The product description clearly lists this computer as a touch screen display more than once. Only to begin setup and find it is not a touchscreen and won't support touch.First real dissappointment with Amazon
Donna,Glad I brought It.,Love this Computer. Very lightweight. I use it only for school and other church assignments. Great for video sharing and downloading music.
Mave,Expensive Paperweight,Truly the biggest waste of money you can imagine. It is practically a paperweight. It's internet capabilities are garbage. 1gig in home internet speeds and this device is constantly running at under 1mb/s. I will never buy another HP computer.
Buffy1977,Lasted 3 months!,"Bought is for my husband in February 2017. It's now June 4th, 2017 and its not working. He has anti virus programs and everything but it suddenly died. Only got 3 months out of it and cannot return it. https://www.amazon.com/dp/B01N52ZY3L/ref=cm_cr_ryp_prd_ttl_sol_0"
The Squirrel Nurse,Bad deal,Sold to me as new but 2 years old and out of warranty. I keep having software issues! Amazon you can keep deleting this review but I will keep writing it.
M. Johnston,Fast and Fun,This laptop is so fast and fun and was easy to set up. Exactly what I was looking for.
Amazon Customer,Two Stars,Review
jeff S of Shingle Springs,HP is the bomb,"This is a really GREAT laptop, fast, simple, so much faster than my old TOSHIBA POS"
Wade S.,Awesome laptop!,Very satisfied with every aspect of this laptop. I would highly recommend it to anyone.
Amazon Customer,"The machine is very slow, I lost the purchase ...","The machine is very slow, I lost the purchase receipt so I have not activated my windows 10. How can I be helped please?"
Amazon Customer,Five Stars,"Very satisfied with this laptop, super fast and quiet, perfect for everything I do"
Amazon Customer,Great product. Love the fast response and the price ...,Great product. Love the fast response and the price was right on.
KW,Junk,I will never buy another HP. Its the Dell outlet for me.
Amazon Customer,Great product. Still using the computer to order,Great product. Still using the computer to order.
Amazon Customer,One Star,Horribly slow ans is constantly updating itself. Would NOT recommend this product.
Brian C.,One Star,The hard drive was dead on arrival. Sent it back
Kshira,Great buy,Tremendous has it all and works seamlessly
Ismael Carrion,Broken laptop plastic,Product is broken close to the keyboard
carlos,Five Stars,Very good computer excellent battery life
Amazon Customer,stay away,junk
Amazon Customer,Five Stars,Excelent
Harold,Five Stars,So far good
YarisOsorio,Five Stars,Perfecta 100%
Timothy Earney,Five Stars,1
Amazon Customer,What a piece of garbage.,"Wow. I completely regret buying this computer. I've had this computer for about 9 months and already about a dozen of the keys only work half the time and the equals/plus key barely ever works, which is a big problem when you are trying to write code. The keys that only work sometimes are getting worse too. They seem to work less consistently every day, and as a student I can't afford to send my computer off to be fixed because I have coursework that needs to be done every day. I'm just going to buy the parallel software for my Mac so I can run Windows OS on it and I'll throw this thing in the trash."
Mike S,Do not buy this piece of garbage,"I've had this machine for about a year. No gaming. Internet, some Excel... BASIC functions. Barely any downloads or memory usage.It is the slowest PC I've ever seen wake up. Chrome CONSTANTLY is unresponsive. It takes forever to do anything. I feel like I'm using a 1995 machine waiting fro dial up and for crap to load on the screen.My wife uses a Mac for work, jumped on this POS yesterday and asked me how in the hell I work on it. It's that bad.Do not buy this piece of garbage. If anyone here is reviewing it positively they're either lying or haven't even fired this disaster up."
Britt,Sceen hinges broke after 2 years. Expensive to repair.,"HP hinges break easily. Had it for two years and without ever dropping or bumping it, the hinges of the screen broke. If you google HP laptop and hinges, this seems to be a very common problem/design flaw. Repair runs $250 to $300 dollars."
Buckaroo Bob,"""2017 Newest HP"" ? -- ""Premium"" ?? -- NOT 2017 specs and NOPE.","No Full HD display. No SSD, nor 7200 RPM. No /ac wireless. No Gigabit Ethernet. Only one USB 3. No back-lit keyboard. Come on HP -- is this ""Premium"" ? New processor and DDR4, that is it. Look around -- for this price you can do WAY better."
Laura K. Hilton,Bloatware-laden piece of garbage,"This is the worst laptop I have ever purchased. It is constantly updating itself, adding new programs that I do not want that only slow it down. The first week I had the laptop, it was excruciatingly slow. I had to waste time searching internet forums to figure out what bloatware to delete to make the laptop actually function.Just now, it took the computer 10 minutes to start and an additional 7.5 minutes just to open google chrome to write this review (I timed it). The only things I need a laptop for are browsing the internet and Microsoft Word. You would think a laptop at this price could accomplish such simple tasks."
Thomas Jacobs,Ultra reliable. Photoshop friendly!,"Fast for a laptop, works well with photo shop I bought it in 2017 as a refurbished computer. I use it every day. The only issue I have is the shift key on the left side sticks and that was my fault due to a spilled soda. I use a separate keyboard now unless I am on the road."
Amazon Customer,SO FAR SO GOOD! I had an HP before and I was ...,"SO FAR SO GOOD!I had an HP before and I was really happy with it's reliability. I am really happy with my new laptop. Latest processor, large memorry and beautiful look. It works great. Super fast and quiet. I've had it for about two weeks and don't have any complaints. I'm enjoying my new HP."
Rob n Liz,It has been an excellent product. Great job,"Just received it. It has been an excellent product. Great job, HP!"
Coral Juliet,the only brand to buy,"The quality of this product is very good, After I bought it and use found no problems, I believe it is very durable.I often recommend friends to buy definitely worth it 100% satisfied!!!!!! Overall I highly recommend this to anyone who is looking for lights for decoration Good company communications & follow-up. pleasant service,I love my bands"
Michelle B,"great laptop for digital, gaming","No problems at all, love the laptop!"
